Table Name,Description,Label,Action,Property Key,Property Value
sysPublicSpaceItemTable,公共空间详情,basic.common.table.publicSpaceTable,,initQuery|select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canSwitch|pageSizeOptions|showAddRow|pageSizeIndex|canExport|customView|isRowCheckable,false|multi|2|1|true|middle|true|220px|250px|17|24|true|10;20;50;100;500|false|1|true|true|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysCADPublicSpaceTable,公共空间(CAD),basic.common.table.publicSpaceTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canExport,multi|3|1|true|middle|true|220px|250px|12|24|false
sysCADPublicSpaceItemTable,公共空间详情(CAD),basic.common.table.publicSpaceTable,,initQuery|select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canSwitch|pageSizeOptions|canExport|draggable|action|showMode,false|multi|3|1|true|middle|true|150px|170px|20|24|true|10;20;50;100;500|false|true|event/name?moveProcess=sysDesginCardDragOver|card
sysCADProductDesignTable,产品设计(CAD),basic.common.table.sysProductDesignTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canExport,multi|3|1|true|middle|true|220px|250px|12|24|false
sysCADProductDesignDetailTable,产品设计明细(CAD),basic.common.table.sysProductDesignDetailTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canSwitch|pageSizeOptions|canExport|draggable|action|showMode|initQuery,multi|2|1|true|middle|true|150px|170px|20|24|true|10;20;50;100;500|false|true|event/name?moveProcess=sysDesginCardDragOver|card|false
sysProductDesignTable,产品设计,basic.common.table.sysProductDesignTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|pageSizeIndex,multi|2|1|true|middle|true|220px|250px|12|24|1
sysProductDesignStoreTable,产品设计库,basic.common.table.sysProductDesignStoreTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canExport|pageSizeIndex,multi|2|1|true|middle|true|271px|250px|12|24|true|1
sysMainObjectSelectTable,选择主对象,basic.common.table.sysMainObjectSelectTable,,select|frozen|frozenRight|sizeChanger|size|wrap|isRowCheckable|initQuery,single|2|1|true|middle|true|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
sysProductDesignDetailTable,产品设计明细,basic.common.table.sysProductDesignDetailTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canSwitch|pageSizeOptions|initQuery|showAddRow|pageSizeIndex|customView|isRowCheckable,multi|2|1|true|middle|true|220px|250px|17|24|true|10;20;50;100;500|false|false|1|true|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysProductSearchTable,产品设计明细,basic.common.table.sysProductSearchTable,,select|frozen|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canSwitch|pageSizeOptions|initQuery|showAddRow|pageSizeIndex,multi|3|true|middle|true|220px|250px|20|24|true|10;20;50;100;500|false|false|1
sysProductItemTemplateManageTable,产品设计模板管理,basic.common.table.sysProductTemplateManageTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canSwitch|pageSizeOptions|initQuery,multi|3|1|true|middle|true|220px|250px|20|24|true|10;20;50;100;500|false
sysProductDesignPartTable,零部件查看,basic.common.table.sysProductDesignPartTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols,multi|2|1|true|middle|true|220px|250px|12|24
sysProductDesignDocTable,文档视图查看,basic.common.table.sysProductDesignDocTable,,select|frozen|frozenRight|sizeChanger|size|wrap,multi|2|1|true|middle|true
sysProductDesignPngTable,图档视图查看,basic.common.table.sysProductDesignPngTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols,multi|2|1|true|middle|true|220px|250px|12|24
sysBatchErrorShowTable,失败原因,basic.common.table.sysBatchErrorShowTable,,select|pagination|canExport,none|false|true
sysRecentlyOpenedTable,最近打开,basic.common.header.sysRecentlyOpenedTable,,bordered|pagination|sizeChanger|header|expandable|checkbox|fixHeader|noResult|ellipsis|size|frozenRight|frozen|canExport|select|pageSizeIndex,true|true|true|true|false|false|true|true|true|small|1|2|true|multi|1
sysMaintainProductStructureTable,维护产品结构,productdesign.title.sysMaintainProductStructureTable,,draggable|pagination|total|select|mode|size|frozenRight|wrap|frozen|canExport|processUrl|checkStrictly|showFooter|dragProcess,true|false|false|multi|edit|middle|1|true|1|false|/ItemManagement/IItemManagementService/cellSave|false|false|sysMaintainBomDragAction
sysMaintainProductStructureCheckTable,维护产品结构,productdesign.title.sysMaintainProductStructureTable,,draggable|pagination|total|select|mode|size|frozenRight|wrap|frozen|canExport|processUrl,true|false|false|multi|edit|middle|1|true|1|false|/ItemManagement/IItemManagementService/cellSave
sysViewComprehensiveOverviewTable,查看综合视图,basic.common.header.sysViewComprehensiveOverviewTable,,total|canExport|size|select|isOnlyRead|wrap|frozen|canExpand|canLocation|showFooter,false|false|middle|multi|true|true|3|true|true|false
sysTaskManagementTable,任务管理,basic.common.header.sysTaskManagementTable,,canExport|size|frozenRight,false|middle|1
sysNewTaskAddDeliverablesTable,交付物,交付物,,canExport|size|frozenRight|pagination,false|middle|1|false
sysScenceEntryTable,快捷操作,basic.common.table.sysScenceEntryTable,,,
sysNoticeTable_,系统通知,basic.common.table.sysNoticeTable,,bordered|pagination|sizeChanger|header|expandable|cardCheckbox|fixHeader|noResult|ellipsis|size|canSet|cardWidth|cardHeight|cardCols|cardRows|select|simple|canExport|showCardLabel|canSwitch|action,true|true|true|true|false|true|true|true|true|small|false|100%|90px|32|4|multi|true|false|true|false|sysClickSetReadAction
sysNoticeTable,系统通知,basic.common.table.sysNoticeTable,,showTopToolbar|bordered|pagination|sizeChanger|header|expandable|cardCheckbox|fixHeader|noResult|ellipsis|size|canSet|cardWidth|cardHeight|cardCols|cardRows|select|simple|canExport|showCardLabel|canSwitch|action,false|true|true|true|true|false|true|true|true|true|small|false|100%|90px|32|3|multi|true|false|false|false|sysClickSetReadAction
sysTeamTable,团队,basic.common.table.sysTeamTable,,canExport|select|frozenRight|pagination,false|normal|1|false
sysDemandTable,需求管理,basic.common.table.sysDemandTable,,size|sizeChanger|frozen|frozenRight,middle|true|2|1
sysDemandItemTable,需求条目,basic.common.table.sysDemandItemTable,,size|sizeChanger|frozen|frozenRight|total|select,middle|true|2|1|false|multi
sysCockpitProjectDetailTable,项目明细,basic.common.table.sysCockpitProjectDetailTable,,size|sizeChanger|frozen|frozenRight,middle|true|2|1
sysFileTable,文件,basic.common.table.sysFolderTable,,select|total|pagination|frozenRight|canExport|sizeChanger,multi|true|true|1|false|true
sysApproveObjectTable,审批对象,basic.common.table.sysApproveObjectTable,,total|canExport|size|select|frozen|frozenRight|pagination|showAddRow|sizeChanger|getRowClass,true|false|middle|multi|3|2|true|false|true|if($data.ISINVALID==='Y'){return 'isInvalid'}
