Table Name,Description,Label,Action,Property Key,Property Value
sysAssemblyOutlineProcessFlowConstituteAddTable,制造大纲工艺流程组成添加弹窗table,basic.common.table.sysFabricationOutlineProcessFlowConstituteAddTable,,select|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|isRowCheckable,multi|true|middle|true|220px|250px|12|24|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysOperatingStationAddTable,装配大纲工艺流程组成添加作业站弹窗table,basic.common.table.sysOperatingStationAddTable,,select|sizeChanger|size|wrap|cardWidth|cardHeight|isRowCheckable,multi|true|middle|true|220px|250px|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysAssemblyOutlineProcessFlowConstituteProcessAddTable,制造大纲工艺流程组成工序添加弹窗table,basic.common.table.sysAssemblyOutlineProcessFlowConstituteProcessAddTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols,multi|2|1|true|middle|true|220px|250px|12|24
sysDeviceTable,加工设备,加工设备,,canSet|canExport|canSet|total|showFooter|frozenRight|isRowCheckable,false|false|true|true|true|1|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysDeviceSearchTable,加工设备,加工设备,,canSet|canExport|canSet|total|showFooter|sizeChanger|pageSizeIndex|isRowCheckable|initQuery,false|false|true|true|true|true|0|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
sysMeasuringToolTable,量检具,量检具,,canSet|canExportt|canSet|total|showFooter|frozenRight|isRowCheckable,false|false|true|true|true|1|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysMeasuringToolSearchTable,量检具,量检具,,canSet|canExportt|canSet|total|showFooter|sizeChanger|pageSizeIndex|isRowCheckable|initQuery,false|false|true|true|true|true|0|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
sysMoldFixtureTable,模夹具,模夹具,,canSet|canExportt|canSet|total|showFooter|frozenRight|isRowCheckable,false|false|true|true|true|1|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysMoldFixtureSearchTable,模夹具,模夹具,,canSet|canExportt|canSet|total|showFooter|sizeChanger|pageSizeIndex|isRowCheckable|initQuery,false|false|true|true|true|true|0|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
sysCGJYTable,常规检验,常规检验,,canSet|canExportt|canSet|total|showFooter|frozenRight|isRowCheckable,false|false|true|true|true|1|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysCGJYSearchTable,常规检验,常规检验,,canSet|canExportt|canSet|total|showFooter|sizeChanger|pageSizeIndex|isRowCheckable|initQuery,false|false|true|true|true|true|0|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
sysCCJYTable,尺寸检验,尺寸检验,,canSet|canExportt|canSet|total|showFooter|frozenRight|isRowCheckable,false|false|true|true|true|1|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysCCJYSearchTable,尺寸检验,尺寸检验,,canSet|canExportt|canSet|total|showFooter|sizeChanger|pageSizeIndex|isRowCheckable|initQuery,false|false|true|true|true|true|0|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
sysProcessMainItemTable,主料,主料,,canSet|canExportt|canSet|total|process|showFooter|frozenRight|isRowCheckable,false|false|true|true|sysProcessCellSaveAction|true|1|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysProcessMainItemSearchTable,主料,主料,,canSet|canExportt|canSet|total|process|showFooter|sizeChanger|pageSizeIndex|frozen|isRowCheckable|initQuery,false|false|true|true|sysProcessCellSaveAction|true|true|0|2|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
sysSecondaryItemTable,辅料,辅料,,canSet|canExportt|canSet|total|process|showFooter|frozenRight|isRowCheckable,false|false|true|true|sysProcessCellSaveAction|true|1|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysSecondaryItemSearchTable,辅料,辅料,,canSet|canExportt|canSet|total|process|showFooter|sizeChanger|pageSizeIndex|frozen|isRowCheckable|initQuery,false|false|true|true|sysProcessCellSaveAction|true|true|0|2|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
sysProductTemplateManageTable,产品库模板管理,产品库模板管理,,canExport,true
sysObjectSearchTable2,object搜索,basic.common.table.sysObjectSearchTable,,frozen|canExport|select|clickAndChecked|sizeChanger,2|false|single|true|true
sysProTemplateManageTable,模板管理二级table,basic.common.table.sysProTemplateManageTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canSwitch|pageSizeOptions|initQuery|isRowCheckable,multi|2|1|true|middle|true|220px|250px|20|24|true|10;20;50;100;500|false|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysLightWeightFileTable,图纸审批文件table,图纸审批文件table,,canSet|canExport,false|false
sysLightWeightDrawingFileTable,轻量化图纸审批table,轻量化图纸审批table,,|total|canExport|clickAndSelected|showFooter,|false|false|true|false
sysInstanceAddDeliverablesTable,实例页面交付物,交付物,,canExport|size|frozenRight,false|middle|1
sysInstanceSubtasksTable,子任务,子任务,,canExport|size|frozenRight|frozen|sizeChanger,false|middle|1|2|true
sysNewOutFileTable,文件,basic.common.table.sysFolderTable,,total|frozenRight|canExport|sizeChanger|clickAndSelected|showAddRow,true|1|false|true|true|false
sysNewOutFileTaskTable,文件,basic.common.table.sysFolderTable,,total|frozenRight|canExport|sizeChanger|clickAndSelected|showAddRow|select,true|1|false|true|true|false|normal
sysJournalListTable,日志列表,日志,,bordered|pagination|sizeChanger|header|expandable|checkbox|fixHeader|noResult|ellipsis|size|canSet|cardWidth|cardHeight|cardCols|cardRows|select|simple|canExport|showCardLabel|canSwitch,true|false|true|true|false|false|true|true|true|small|false|100%|80px|32|4|multi|true|false|false|false
sysInstanceOperateAddDeliverablesTable,添加交付物,添加交付物,,canExport|size|frozenRight,false|middle|1
sysFolderPermissionsTable,文件夹权限table,文件夹权限,,canExport|canSize|mode|canSet|showIndex|height|selectionMode|rowAddAction|showFooter|frozenRight,false|false|edit|true|true|400px|normal|folderPermissionsRowAddAction|false|1
sysProjectManagementTable,项目管理,basic.common.table.sysProjectManagementTable,,frozenRight,1
sysProjectWbsTable,任务,basic.common.table.sysProjectWbsTable,,frozenRight|processUrl|total|canExport,1|/ProjectManagement/ITaskService/taskSave|false|false
sysProjectTemplateTable,项目模板,basic.common.table.sysProjectTemplateTable,,,
sysProjectTemplateManageTable,项目模板管理,basic.common.table.sysProjectTemplateManageTable,,frozen|frozenRight,2|1
sysProcessTaskDeliverablesTable,工艺分工实例页面交付物,交付物,,canExport|size|frozenRight|showFooter|frozen,false|middle|1|false|2
sysOutlineSearchTable,大纲搜索table,basic.common.table.sysOutlineSearchTable,,frozen|canExport|select,3|false|single
sysMyCalendarTaskTable,我的日程,basic.common.table.sysMyCalendarTaskTable,,frozen|height|sizeChanger,2|100%|1
sysProcessNewOutFileTable,工序文件,basic.common.table.sysFolderTable,,total|frozenRight|canExport|sizeChanger|clickAndSelected|showAddRow|select,true|1|false|true|true|false|normal
sysProcessManagementTable,工艺管理,basic.common.table.sysProcessManagementTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|pageSizeIndex,multi|2|1|true|middle|true|220px|250px|12|24|1
sysProcessManagementDetailTable,工艺管理明细,basic.common.table.sysProcessManagementDetailTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canSwitch|pageSizeOptions|initQuery|showAddRow|pageSizeIndex|customView,multi|2|1|true|middle|true|220px|250px|20|24|true|10;20;50;100;500|false|false|1|true
sysChangeContentTable,编辑变更内容,basic.common.table.sysChangeNoticeTable,,frozenRight|frozen|pagination|process|rowClass|total|canSet,1|2|false|sysChangeContentRowAction|ecm-more-changes|false|false
sysBOMCompareTable,bom比较,bom比较,,canSet|canExport|height|canExpand|canLocation|total|showFooter|isExternalFilterPresent|doesExternalFilterPass|select|expandLevel,false|false|400px|true|true|false|false|sysBomCompareFilterPresentAction|sysBomCompareFilterPassesAction|multi|0
sysBOMCompareTestTable,bom比较,bom比较,,canSet|canExport|height|canExpand|canLocation|total|showFooter|isExternalFilterPresent|doesExternalFilterPass|select|expandLevel,false|false|400px|true|true|false|false|sysBomCompareFilterPresentAction|sysBomCompareFilterPassesAction|normal|0
sysBOMComparePositionTable,bom比较,bom比较,,canSet|canExport|height|canExpand|canLocation|total|showFooter|isExternalFilterPresent|doesExternalFilterPass|select|expandLevel,false|false|400px|true|true|false|false|sysBomCompareFilterPresentAction|sysBomCompareFilterPassesAction|multi|0
sysChangeGlobalSearchTable,全局搜索,basic.common.table.sysGlobalSearchTable,,frozen|frozenRight|draggable|canExport|sizeChanger|select|isRowCheckable|initQuery,2|1|false|true|true|single|`($origin["HASAUTH"] === true || $origin['HASAUTH']===undefined)`|false
sysBomForkTable,BOM,basic.common.table.sysBOMTabel,,pagination|total|select|mode|size|frozenRight|wrap|frozen|process|canExport|checkStrictly|draggable|dragProcess|getRowClass,false|false|multi|edit|middle|1|true|2|sysBomForkCellAction|false|false|false|sysBOMDragAction|`if($data['ISALLOWDERIVE']==='N' && (!$data['DERIVE_CASE'] || $data['DERIVE_CASE']==='0'))return 'bom-not-fork';if($data['DERIVE_CASE']==='2'){if($data['DERIVE_ISUPDATE']==='Y')return 'bom-fork-edit';return 'bom-fork'};if($data['DERIVE_CASE']==='3')return 'bom-add';if($data['DERIVE_CASE']==='5')return 'bom-del';if($data['DERIVE_CASE']==='4')return 'bom-replace';return 'bom-fork-empty'`
sysBomForkParentTable,BOM,basic.common.table.sysBOMTabel,,pagination|total|canExport|canSet|canSize|showFooter|showZebraLine|canSet|canLocation|canExpand|showIndex,false|false|false|false|false|false|false|false|false|false|false
sysBomHisFromTable,BOM,basic.common.table.sysBOMTabel,,pagination|total|canExport|canSet|canSize|showFooter|showZebraLine|canSet|canLocation|canExpand|showIndex,false|false|false|false|false|false|false|false|false|false|false
sysBomHisToTable,BOM,basic.common.table.sysBOMTabel,,pagination|total|canExport|canSet|canSize|showFooter|showZebraLine|canSet|canLocation|canExpand|showIndex|frozenRight,false|false|false|false|false|false|false|false|false|false|false|1
sysProcessMainItemAddStructureTable,工序主料从bom添加产品结构,productdesign.title.sysProcessMainItemAddStructureTable,,pagination|total|select|mode|size|wrap|frozen|canExport|processUrl|checkStrictly|showFooter,false|false|multi|edit|middle|true|1|false|/ItemManagement/IItemManagementService/cellSave|false|false
sysBRSReferenceReplaceItemTable,参考替代物料表格,basic.common.table.sysReferenceReplaceItemTable,,frozen|isRowCheckable,2|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`

sysBRSPartTable,bom替代查看替代,,,frozenRight|process,1|sysBRSPartRowAction
sysBRSDetailRightMainTable,BRSAFDM,,,frozenRight|select|clickAndSelected|frozen|sizeChanger|pageSizeIndex,1|multi|true|2|true|0
sysBRSDetailRightComMainTable,BRSAFDM,,,frozenRight|select|clickAndSelected|initQuery|frozen|sizeChanger|pageSizeIndex|pagination,1|multi|true|false|2|true|0|true
sysBRSDetailRightReplaceTable,,,,frozenRight|initQuery|rowAddAction|process|sizeChanger|pagination,1|false|sysBRSDRRowEditAction|sysBRSSubRowAction|false|false
sysBRSDetailRightComReplaceTable,,,,frozenRight|rowAddAction|process|select|clickAndSelected|pagination,1|sysBRSDRRowEditAction|sysBRSSubRowAction|multi|true|false
sysBRSDetailRightGlobalReplaceTable,,,,frozenRight|rowAddAction|process|pagination,1|sysBRSDRRowEditAction|sysBRSSubRowAction|false
sysBRSDRRSearchTable,替代申请单-替代表格-元件搜索,,,select|isRowCheckable|sizeChanger,single|`($origin["HASAUTH"] === true || $origin['HASAUTH']===undefined)`|true
sysBRSDRRModifySearchTable,替代申请单-替代表格-元件修改搜索,,,select|isRowCheckable,single|`($origin["HASAUTH"] === true || $origin['HASAUTH']===undefined)`
sysBRSWorkbenchSearchTable,,,,pagination|isRowCheckable|pageSizeOptions|sizeChanger,true|`($origin["HASAUTH"] === true || $origin['HASAUTH']===undefined)`|10;20;50;100;500|true
sysInstanceBRSPartTable,实例界面-替代关系-局部替代,,,,
sysBRSGlobalWorkbenchSearchTable,,,,pagination|isRowCheckable,true|`($origin["HASAUTH"] === true || $origin['HASAUTH']===undefined)`
sysBRSWholeTable,bom替代查看替代,,,frozenRight,1 
sysBRSInstanceWholeTable,实例界面-替代关系-全局替代,,,frozenRight,1 
sysBRSNewUsedBOMTable,被用在BOM表格,basic.common.table.sysBRSNewUsedBOMTable,,frozenRight|frozen|select|initQuery|isRowCheckable|sizeChanger,1|2|multi|true|`($origin["HASAUTH"] === true || $origin['HASAUTH']===undefined)`|true
sysBRSMainObjectSelectTable,选择主对象,basic.common.table.sysMainObjectSelectTable,,select|frozen|frozenRight|sizeChanger|size|wrap|isRowCheckable|initQuery,single|3|1|true|middle|true|`($origin["HASAUTH"] === true || $origin['HASAUTH']===undefined)`|false
sysAssociatedMaterialTable,被物料关联对象,basic.common.table.sysGlobalSearchTable,,showFooter|total,false|false
sysFileAttachmentTypeClassificationTable,文件附件类型分类,basic.common.table.sysGlobalSearchTable,,showFooter|total,false|false
sysModelStructureWithNoPreviewTable,CAD模型结构(无预览),basic.common.table.sysModelStructureTable,,total|canExport|size|frozenRight|wrap|isOnlyRead|frozen,false|false|middle|1|true|true|1
sysTBDeliverablesTable,任务对象交付物表格,交付物,,canExport|canExpand|canLocation|canSet|size|frozenRight,false|false|false|false|middle|1
sysTBProjectStructuretTable,交付物清单项目结构table,交付物清单项目结构table,,showFooter|select|mode|size|wrap|frozen|canExport|total|pagination,true|multi|view|middle|true|2|false|false|false
sysTBDeliveryItemSummaryTable,交付物清单交付项汇总table,交付物清单交付项汇总table,,select|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|total|pagination,multi|true|middle|true|220px|250px|12|24|false|false
sysTBDeliverablesSummaryTable,交付物清单交付物汇总table,交付物清单交付物汇总table,,select|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|total|pagination,multi|true|middle|true|220px|250px|12|24|false|false
sysTBGlobalSearchTable,全局搜索,basic.common.table.sysGlobalSearchTable,,frozen|frozenRight|draggable|canExport|select|isRowCheckable,2|1|false|true|single|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
['HASAUTH']===undefined)`
sysChangeScopeAddTable,全局搜索,basic.common.table.sysGlobalSearchTable,,frozen|frozenRight|sizeChanger|isRowCheckable|canSet|initQuery,2|1|true|`($origin["HASAUTH"] === true || $origin['HASAUTH']===undefined)`|true|true
sysBomViewWithItemTable,,,,process|frozenRight,sysBomViewWithItemAction|1
sysBomImportErrorTable,失败原因,basic.common.table.sysBomImportErrorTable,,pagination|showFooter|frozenRight,false|false|1
sysGlobalSearchObjectSearchTable,全局搜索对象搜索,basic.common.table.sysGlobalSearchObjectSearchTable,,frozen|draggable|canExport|isRowCheckable|sizeChanger|initQuery,3|false|true|`($origin["HASAUTH"] === true || $origin['HASAUTH']===undefined)`|true|true
