Toolbar Name,Description,Label,Children,Property Key,Property Value
FileTransTableFloatOptionToolBar,操作,,sysDatchRestartFileTransCommand|sysDatchDeleteFileTransCommand|sysDatchCancelFileTransCommand,,
sysChangeScopeFloatToolbar,变更范围表格浮动,,sysBatchSettingCommand|sysChangeScopeBatchRemoveCommand,,
sysECNPlanFloatToolbar,实施计划表格浮动,,sysECNPlanBatchImpactAnalysisCommand|sysECNPlanBatchAssignCommand|sysECMBatchStartCommand|sysECMBatchCompleteCommand|sysECMBatchRemoveCommand|sysECMBatchCancelSubCommand|sysECMBatchCancelCommand|sysECNPlanChangeContentCommand,,
sysWizardECNPlanFloatToolbar,实施计划表格浮动,,sysECNPlanBatchImpactAnalysisCommand|sysECNPlanBatchAssignCommand|sysWizardECMBatchStartCommand|sysECMBatchCompleteCommand|sysECMBatchRemoveCommand|sysECMBatchCancelSubCommand|sysECMBatchCancelCommand|sysECNPlanChangeContentCommand,,
sysECMGlobalSearchTableOptionToolbar,操作,,sysECMSelectFromStructureCommand|sysECMItemSelectFromStructureCommand|sysECMCadSelectFromStructureCommand,,
sysChangeNoticeToolbar,变更通知,ecm.title.relatedECN,,showTitle,true
sysInstanceFileTransToolbar,文件转换,queue.title.fileTrans,sysFileTransOnlyCommand|sysEleSignOnlyCommand|sysFileTransAndSignCommand,masterStyle|visiableExpression|visiableURL,link|`$OBJECTTYPE$==='2DCad'||$OBJECTTYPE$==='3DCad'||$OBJECTTYPE$==='ECad'||$OBJECTTYPE$==='Doc'`|/Queue/ITransformService/listTransConfig?GUID$=$GUID$&CLASSGUID$=$CLASSGUID$&CLASSNAME$=$CLASSNAME$
sysECOInstanceDetailToolbar,ECO的toolbar,basic.common.toolbar.sysInstanceDetailToolbar,sysECOSaveCommand|sysECOStartToolbarCommand|sysECOCompleteToolbarCommand|sysECOCancelSubToolbarCommand|_sysECOCancelToolbarCommand|_sysECODeleteToolbarCommand,,
sysECPInstanceDetailToolbar,ECP的toolbar,basic.common.toolbar.sysInstanceDetailToolbar,sysECPSaveCommand|sysECPDeleteToolbarCommand,align|reviseIndex,left|3
spaceToolBar,操作,,sysCopyObjectCommand,,
sysEcImpactAnalysisToolbar,影响分析,,sysEcImpactAnalysisSelectCommand,,
sysEcImpactAnalysisOptionToolbar,操作,,sysEcImpactAnalysisAddCommand,,
sysEcImpactAnalysisFloatToolbar,影响分析表格浮动,,sysEcImpactAnalysisBatchAddCommand,,
sysECPTableToolbar,操作列(变更建议表格),basic.common.toolbar.sysECMPlanWizardOptionToolbar,sysECPTableDeleteCommand|sysECMImpactAnalysisCommand,,
sysWizardECPTableToolbar,操作列(向导变更建议表格),basic.common.toolbar.sysECMPlanWizardOptionToolbar,sysWizardECPTableDeleteCommand|sysECMImpactAnalysisCommand,,
sysReplaceProgrammeToolbar,替代方案,,sysReplaceProgrammeAddCommand,,
sysReplaceProgrammeTableOptionToolbar,替代方案操作列,,sysReplaceProgrammeDeleteCommand|sysReplaceProgrammeSaveAsCommand,,
sysReplaceSchemeBatchToolbar,替代方案批量操作,,sysReplaceSchemeBatchDeleteCommand,,
sysReplaceProgrammeNewMainItemToolbar,新增主物料toolbar,basic.common.toolbar.sysReplaceProgrammeNewMainItemToolbar,sysNewMainItemCommand_,,
sysReplaceProgrammeNewReplaceItemToolbar,新增替代物料toolbar,basic.common.toolbar.sysReplaceProgrammeNewReplaceItemToolbar,sysNewReplaceItemCommand,,
sysMainItemTableOperationToolbar,主物料表格操作列,,,,
sysReplaceItemTableOperationToolbar,替代物料表格操作列,,,,
sysNewOutInstanceDetailOthersToolbar,更多,common.toolbar.sysInstanceMoreOperationToolbar,sysOutInstanceSaveAsCommand|sysOutInstanceMoveCommand|sysOutInstanceDeleteCommand|sysOutCancelCheckOutCommand_|sysOutNewRevisionCommand|sysOutopenDesignCommand_|sysOutEditReplaceSubstituteCommand|sysOutCheckOutTransferCommand|sysOutModifyOwnerCommand|sysOutIterationCommand|sysOutCopyObjectCommand|sysTransferFileCommand|sysNewOutInstanceFileTransToolbar_|sysOutOpenECRCommand|sysOutOpenECNCommand|sysOutInstanceViewCommand|sysERPCommand|sysOutCreateBOMCommand,nzIcon|trigger,unordered-list|hover
sysNewOutInstanceDetailToolbar,详细信息,basic.common.toolbar.sysInstanceDetailToolbar,sysOutCheckInCommand_|sysOutCheckOutCommand_|sysOutInstanceSaveCommand_|sysOutopenDesignCommand|sysOutStartWFCommand|sysNewOutInstanceDetailOthersToolbar,align,right
